,market_volatility,avg_correlation,cross_sectional_dispersion,regime_score,label
2018-03-29,0.0116499741957309,0.4756883613581979,0.0126954664017177,0.353168946810779,2
2018-04-02,0.01190783365281,0.487551890741957,0.012648592973432,0.391707615413449,2
2018-04-03,0.0122015778074714,0.4992129983533928,0.0126615983289441,0.4351480348839496,2
2018-04-04,0.0123087720518813,0.506314511429833,0.01255446334171,0.4512186821539877,2
2018-04-05,0.0123520638649729,0.5090950280406707,0.0125525355584063,0.4595770799534346,2
2018-04-06,0.0129365179896959,0.5325765280086764,0.0125727499190113,0.5462945350107743,2
2018-04-09,0.0126092354007787,0.5178188111411904,0.0125579699023426,0.4943120989168058,2
2018-04-10,0.0128249833487217,0.5171482691854538,0.0126979067638271,0.5140010892224856,2
2018-04-11,0.0126373936656457,0.5099920848684291,0.0126481269616962,0.4847954853489418,2
2018-04-12,0.0125698053226754,0.5092379994824711,0.0125499090186968,0.4739887057179336,2
2018-04-13,0.0124014320426917,0.5081303277277011,0.0125112855135922,0.4588181701227054,2
2018-04-16,0.0124627792017062,0.5094661600688919,0.0125774404472015,0.4688062107357314,2
2018-04-17,0.0124452748855743,0.5036051376686328,0.0126541200314725,0.4596071193130556,2
2018-04-18,0.0124402702559172,0.5053866031430077,0.0126265534195128,0.4615166360574265,2
2018-04-19,0.0124645059085602,0.501895899730936,0.0127652375750908,0.4629077877884437,2
2018-04-20,0.0124990941985907,0.5043803732059275,0.0127970875143493,0.4717689887244484,2
2018-04-23,0.0121171598723751,0.4926438890416429,0.0127441900320324,0.4204302723278844,2
2018-04-24,0.0123380354539937,0.4888615800783812,0.0131276149752267,0.4462098895917065,2
2018-04-25,0.0123140351288147,0.4849221807373182,0.0132299924187982,0.4417408012937677,2
2018-04-26,0.0125725726451705,0.4797358646873862,0.0136061781699365,0.4667897296278883,2
2018-04-27,0.0125726511440051,0.4721208052974297,0.0137685159741695,0.4594334834918263,2
2018-04-30,0.0126494906856907,0.4672004741623889,0.0139341498202963,0.4627114193583748,2
2018-05-01,0.0124206703809121,0.452772472126995,0.0140549832348419,0.4245487461630556,2
2018-05-02,0.0124629270636561,0.4541873250890566,0.0140406020638347,0.4294630552552317,2
2018-05-03,0.0124629075281102,0.4580641015437017,0.0138936720697626,0.4300294473674659,2
2018-05-04,0.0117566233603649,0.4364971175787439,0.013672028076841,0.3292430305457953,2
2018-05-07,0.0111912539250747,0.4126182578191029,0.0135963207724348,0.2402265870609902,2
2018-05-08,0.0101642391290877,0.3689575966424961,0.0134965276534961,0.079817701632193,1
2018-05-09,0.0098101298440922,0.3648695468803313,0.0132712262460196,0.0372312175163324,1
2018-05-10,0.0098647811614122,0.3741479824609198,0.0131048031549707,0.0513298425454632,1
2018-05-11,0.0095516596052528,0.3622522689595873,0.0129600999783735,-0.000367798556163,1
2018-05-14,0.0085673826435027,0.3172540457012555,0.0128422559426196,-0.1615756431865281,1
2018-05-15,0.0084148801221352,0.3081075720349327,0.012832325821419,-0.190536144885034,1
2018-05-16,0.0082786861788997,0.3019747428967369,0.0127937826352887,-0.2137533049703088,1
