,market_volatility,cross_sectional_dispersion,avg_correlation,market_volatility_z,avg_correlation_z,cross_sectional_dispersion_z,regime_score,label
2025-08-01,0.006268286312625057,0.01539751321652114,0.14913792360570163,-0.39721690334884274,-0.8991366928866299,0.30625819427953627,-0.40709782068450306,1
2025-08-04,0.006550164579403839,0.01544622209272264,0.16300506931494307,-0.362517217846953,-0.8056173316584915,0.318112698883598,-0.35932126864430436,1
2025-08-05,0.006494313033645469,0.015334669574998478,0.16083658864643338,-0.36939263642660114,-0.8202414606037469,0.29096364642988887,-0.37257602710844684,1
2025-08-06,0.006378979734895123,0.01541217249117979,0.15252761042754756,-0.3835903581604065,-0.8762768085968722,0.3098258897897814,-0.39271304370130855,1
2025-08-07,0.006320393368423819,0.015615964553640498,0.14864385243831232,-0.39080243773817736,-0.9024686849882704,0.3594237070893992,-0.3942570829476899,1
2025-08-08,0.00624450989447008,0.015698969815331625,0.1449177111034578,-0.4001438201408585,-0.9275976022714522,0.37962508173841075,-0.4024261744041827,1
2025-08-11,0.006190199462228863,0.015384116540056343,0.14507209430298898,-0.40682952507220355,-0.9265564494266465,0.30299778313446946,-0.4207821407372019,1
2025-08-12,0.006392225595688113,0.015465346195228316,0.14805985190923335,-0.38195977057034125,-0.9064071563638154,0.322767020208201,-0.398348628152675,1
2025-08-13,0.006198148693354903,0.015374302731496474,0.14004471635910015,-0.405850961441855,-0.9604608435840966,0.3006093511313355,-0.4309418635698893,1
2025-08-14,0.006150227361949362,0.015302765946142377,0.14077027441325837,-0.41175015738770315,-0.9555677150930916,0.2831991126394485,-0.43590557069388935,1
2025-08-15,0.00610140193539929,0.01562092083074093,0.13485386789692277,-0.41776064895608195,-0.9954676750253628,0.36062993918276626,-0.43539463914909654,1
2025-08-18,0.005925230048575596,0.015572046412744522,0.12892942955287623,-0.4394477025090764,-1.035421801215981,0.34873514590602406,-0.4606033624381277,1
2025-08-19,0.005926963813996993,0.015543403397221834,0.13127941902630166,-0.4392342730895471,-1.0195735856526922,0.3417641626711973,-0.45713637970634174,1
2025-08-20,0.0059219461757902625,0.01563319754430025,0.13052139064429863,-0.4398519527344714,-1.024685692467181,0.3636177797728392,-0.4546081281528222,1
2025-08-21,0.0058655404401246405,0.01554528972559549,0.1306636344169793,-0.4467955930174446,-1.0237264073310255,0.3422232471365783,-0.4620710692807143,1
2025-08-22,0.0063036423672553875,0.015706436743763156,0.1387127082719971,-0.3928645139635946,-0.9694438418209707,0.38144234266439886,-0.4109769409952087,1
2025-08-25,0.006476301573032367,0.015599185102360165,0.14844130657952914,-0.37160987731518236,-0.9038346444820243,0.3553400143835058,-0.3858873291254973,1
2025-08-26,0.006070053450572245,0.015408836944653219,0.13376587212789176,-0.42161969980413094,-1.002805065968828,0.30901410239619176,-0.4498485492134755,1
2025-08-27,0.006069551148972947,0.015230455262863075,0.13664796177905478,-0.4216815339700704,-0.9833683924939561,0.26560052702825065,-0.4527311793275719,1
2025-08-28,0.005999631665985604,0.015063548360546504,0.13610292594908063,-0.43028873912228455,-0.987044087819755,0.22497962184094206,-0.4662616715388803,1
2025-08-29,0.005971397495372089,0.015094209485105642,0.13476964904590052,-0.43376441268836535,-0.9960356428910008,0.23244176161087635,-0.46920454688930757,1
2025-09-02,0.006039624241779164,0.01504142012091173,0.13785415754853123,-0.4253655862368012,-0.9752338664535796,0.21959416976142712,-0.4613341191021891,1
2025-09-03,0.005933887002239684,0.014777104019748254,0.13439130790536366,-0.4383820170520843,-0.9985871572784031,0.15526633708452417,-0.48771388829265827,1
2025-09-04,0.005753663704110391,0.014433538943507086,0.13287282850475637,-0.46056780610444736,-1.0088277090516669,0.07165131461413649,-0.5186019528448964,1
2025-09-05,0.005758622867122782,0.014543143368611901,0.1337478805328958,-0.45995732485362556,-1.0029264004169383,0.09832625075217367,-0.5111913324014595,1
2025-09-08,0.005724257629036259,0.01444371155350594,0.13308150318608603,-0.464187743067229,-1.0074204170745278,0.07412706978384889,-0.5194945826992031,1
2025-09-09,0.005706344902887903,0.014507823969431854,0.13100724926884885,-0.4663928295782697,-1.0214090853579878,0.08973040513133647,-0.5216730593702639,1
2025-09-10,0.005656490707938533,0.01516850403892572,0.13471707953516895,-0.4725299642551006,-0.9963901691335869,0.25052317097604865,-0.4850773986724166,1
2025-09-11,0.005616219085375735,0.015098115912969758,0.14044192240802525,-0.47748746826400873,-0.9577821051652256,0.2333924870373678,-0.47939986827409853,1
2025-09-12,0.005594623829224121,0.014723801922258358,0.14918412218907198,-0.4801458803699049,-0.898825131870612,0.1422939589601308,-0.48126168795410995,1
2025-09-15,0.00525353117717568,0.01442882632157042,0.14850616078699402,-0.5221349556127122,-0.9033972708377112,0.07050438200550269,-0.5179857826565688,1
2025-09-16,0.004898484886116194,0.014474474653379175,0.1295694140471189,-0.56584174712653,-1.031105776681992,0.08161402775787083,-0.5759298010162884,1
2025-09-17,0.0049158273643054515,0.01442311082044929,0.13186727620786048,-0.5637068590918207,-1.0156091051990024,0.06911337404886918,-0.5727134862958372,1
2025-09-18,0.004916068657581211,0.014678788506929866,0.13399449856069517,-0.5636771554865082,-1.0012632203429184,0.13133883576967378,-0.5559497766921949,1
2025-09-19,0.004903485305534659,0.01441048235218372,0.13655237492965397,-0.565226187143204,-0.9840130255918702,0.06603992528817228,-0.5646090161915286,1
2025-09-22,0.004846155182362967,0.014384279184906286,0.13531743896430587,-0.5722836210723106,-0.9923413741257753,0.05966273921131973,-0.5719116749316239,1
2025-09-23,0.004781462459199416,0.014469623933158683,0.12988668772654172,-0.5802474033592145,-1.0289660983043176,0.08043348553084523,-0.5827268340647335,1
2025-09-24,0.0045012396547170356,0.014703375751735581,0.12063274674907641,-0.6147432986870626,-1.0913742295233262,0.13732274731681737,-0.6073193687371656,0
2025-09-25,0.004371142328660246,0.014745175118926057,0.11457137722239925,-0.630758496844749,-1.1322518129992671,0.14749565273874762,-0.625555661774405,0
2025-09-26,0.004498231560513977,0.014615184985322894,0.12331416561987882,-0.6151136001083073,-1.073290870103846,0.11585935238752243,-0.6063721906078029,0
2025-09-29,0.0044983992484480045,0.014428653735269803,0.1252264338782689,-0.6150929574435156,-1.0603946252838101,0.07046237887886926,-0.611572390531127,0
2025-09-30,0.004509343870840949,0.014801916558707827,0.1170549056486395,-0.6137456561445823,-1.1155030171847735,0.16130507951245257,-0.6092627173252327,0
2025-10-01,0.004538666036385017,0.015094139644863723,0.108508386250575,-0.6101360485851176,-1.1731403314230047,0.23242476426801098,-0.610525170865858,0
2025-10-02,0.004544010940725381,0.015086842037846139,0.1082092573884286,-0.6094780819324637,-1.175157642028906,0.23064871187807892,-0.6111565911992878,0
2025-10-03,0.004508834808416241,0.01517134268801036,0.10665284330919016,-0.6138083225794233,-1.1856540234435657,0.2512140261397764,-0.612357563094826,0
2025-10-06,0.00362060461945878,0.015519173205059347,0.07857598878341195,-0.7231509425774967,-1.3750029749582449,0.33586714867811607,-0.7069029340405986,0
2025-10-07,0.0033370938415998893,0.015689855501328127,0.06447238171319315,-0.7580515929203635,-1.4701170201896676,0.377406888962409,-0.7445795247246002,0
2025-10-08,0.0033154621640783958,0.015906859666219273,0.06317663373174665,-0.7607144885577317,-1.4788554820244466,0.43022019677022577,-0.7379698495321547,0
2025-10-09,0.0034272467470742446,0.016082212740658835,0.06608562177711111,-0.7469536196612304,-1.4592374070775975,0.47289668595221496,-0.7166686947634514,0
2025-10-10,0.004863486380211694,0.016501938983778188,0.09904027965890262,-0.5701501216663638,-1.2369927852054037,0.5750474040455773,-0.5411634155856876,1
2025-10-13,0.005186771394815414,0.01666125799777082,0.10641138599853028,-0.5303531963396352,-1.18728239989033,0.6138216097381337,-0.49859699618928977,1
2025-10-14,0.005252322876566018,0.01684697057430991,0.11319630649563865,-0.5222836994361582,-1.141525223599147,0.6590193388852298,-0.47179554902077714,1
2025-10-15,0.0052205198592802935,0.016888560473710023,0.11031599271858769,-0.5261987039891408,-1.1609499206647373,0.6691412651616957,-0.47755607516165244,1
2025-10-16,0.005321361793952847,0.01697119324081261,0.11392055771313794,-0.5137848933803014,-1.1366409083514826,0.6892519840789553,-0.46003432237980446,1
2025-10-17,0.005366480710659887,0.01688283759447775,0.12039864057363107,-0.5082306793651112,-1.0929530302690786,0.6677484615600108,-0.448451556451277,1
2025-10-20,0.0055792563426929585,0.016928340518375922,0.12975359375343115,-0.48203764363239276,-1.0298636776338779,0.6788227187162977,-0.41421338136310015,1
2025-10-21,0.005603546411917394,0.017223859922139612,0.12587676673902345,-0.4790474955357021,-1.0560088118656312,0.7507446435419491,-0.40617746261915055,1
2025-10-22,0.005702755311028871,0.0164596993312524,0.1263289553378936,-0.4668347143323231,-1.0529592737842075,0.5647673443441481,-0.43635167043259415,1
2025-10-23,0.005520238737002946,0.01655568691754665,0.11141498030156201,-0.489302809478347,-1.1535384014586676,0.5881282874082161,-0.47308726769513054,1
2025-10-24,0.00532299480466384,0.01684170960154508,0.10248828284356713,-0.5135838670339278,-1.2137396181800133,0.6577389515980231,-0.48936602865136325,1
